text,label
Emergency! There is thief happening at Summit.,Police
"Hello Hi, hello",Other
Medical emergency at the Hospital gate: several injured people.,Medical/Hospital
Emergency! Send police immediately to Mexico Square - armed suspect in progress.,Police
ሆስፒታል ያስፈልገኛል በKebele 04,Police
"Hello Hi, how to use this?",Other
Please send paramedics to Train Station: burn victim,Medical/Hospital
Emergency! Send police immediately to the Bus Terminal - mugging in progress.,Police
Emergency! inferno at Kebele 04,Fire Force
Police emergency! harassment at Sarbet.,Police
ልቤ ይታመማል በTrain Station,Fire Force
Emergency! Witnessed burglary at the Bus Terminal.,Police
I see inferno at the shopping mall.,Fire Force
Emergency! electrical sparks at Atlas area,Fire Force
Medical emergency at construction site: allergic reaction,Medical/Hospital
"Hello, thank you?",Other
Fire emergency at Mexico Square - electrical sparks,Fire Force
Hafuura baafachuu dadhabe Mexico Square,Medical/Hospital
Emergency medical assistance needed at the Bus Terminal for fainting spell.,Medical/Hospital
Emergency! There is electrical sparks happening at Kebele 02.,Fire Force
Emergency! Reporting something burning at the Main Road.,Fire Force
Emergency! Officer required at Sarbet: armed suspect.,Police
Emergency! stroke at Central Bank,Medical/Hospital
ልቤ ይታመማል በMain Road,Fire Force
"Hello Hello, weather report?",Other
Medical emergency at Adama General Hospital: bleeding,Medical/Hospital
Need police at Summit for thief,Police
System test,Other
Please send paramedics to Gas Station: broken leg,Medical/Hospital
"Hi, testing the app",Other
Just thank you,Other
Hi Quick question: app feedback,Other
Weather report,Other
Emergency! Need firefighters at the Stadium for transformer fire.,Fire Force
Help! burning smell at the Hospital gate!,Fire Force
Need firefighters at Kebele 02 for explosion,Fire Force
Someone has collapsed person at Sarbet.,Medical/Hospital
Reporting chemical fire at Adama Market,Fire Force
Emergency! Need police at Bole Road - car theft.,Police
Emergency! I see fire on the balcony at the shopping mall.,Fire Force
"Emergency! Please send the fire force to Bole Road, there is gas leak.",Fire Force
Medical emergency! fainting spell at Atlas area.,Medical/Hospital
There is a person with unconscious person at the shopping mall.,Medical/Hospital
Emergency! There is a person with seizure at the main Factory.,Medical/Hospital
Reporting fire on the balcony at the Office,Fire Force
Medical emergency! fainting spell at the Bus Terminal.,Medical/Hospital
Emergency! Send police immediately to CMC Condominium - kidnapping attempt in progress.,Police
Hello This is thank you thanks,Other
Reporting stolen goods at Main Road,Police
Medical emergency at Summit: woman in labor.,Medical/Hospital
Need police at Kazanchis for drug dealing,Police
Emergency! There is a person with animal bite at the local Pharmacy.,Medical/Hospital
Medical emergency! poisoning at Gerji.,Medical/Hospital
Police emergency! kidnapping attempt at CMC Condominium.,Police
"Hello wrong number, thanks",Other
Need police at Central Bank for suspicious person,Police
This is hello,Other
URGENT police response needed: armed suspect at the Park.,Police
ልቤ ይታመማል በHigh School,Fire Force
Emergency! Please send paramedics to the High School: stroke.,Medical/Hospital
እሳት ወጥቷል በAdama Market,Medical/Hospital
Send fire truck to the Central Bank - something burning.,Fire Force
Send fire truck to the University campus - burning smell.,Fire Force
Please send paramedics to the Hospital gate: heart attack.,Medical/Hospital
URGENT police response needed: car theft at Kebele 02.,Police
Emergency! Please send police to the main Factory for mugging.,Police
Reporting car theft at High School,Police
Medical emergency! several injured people at the construction site.,Medical/Hospital
Reporting shooting at Kazanchis,Police
Emergency! Reporting broken leg at Summit.,Medical/Hospital
Emergency! I see huge flames at the High School.,Fire Force
Emergency! transformer fire at the construction site.,Fire Force
Emergency! collapsed at Gerji,Medical/Hospital
Send fire truck to Mexico Square - flames spreading.,Fire Force
Send police to Atlas area - kidnapping attempt in progress,Police
Reporting thief at Central Bank,Police
Emergency! There is a person with stroke at the Main Road.,Medical/Hospital
Emergency! Someone has heavy bleeding at the University campus.,Medical/Hospital
Emergency! Please send police to the Stadium for break-in.,Police
Please send paramedics to Gas Station: burn victim,Medical/Hospital
Send police to Adama Market - harassment in progress,Police
"Emergency! Please send the fire force to my Home, there is kitchen fire.",Fire Force
Emergency! Please send police to the High School for burglary.,Police
Fire emergency at the Office - something burning,Fire Force
Emergency! Reporting stabbing at the Main Road.,Police
Reporting burglary at Bus Terminal,Police
Medical emergency at Adama Market: burn victim.,Medical/Hospital
URGENT: animal bite at Bole Road.,Medical/Hospital
Police emergency! drug dealing at Sarbet,Police
Quick question: weather report,Other
Emergency! Reporting gas leak at the Stadium.,Fire Force
Please send paramedics to an Apartment building: collapsed,Medical/Hospital
Person bleeding after stabbing at Bus Terminal,Medical/Hospital
Please send paramedics to Train Station: choking,Medical/Hospital
"Emergency! Please send the fire force to the main Factory, there is something burning.",Fire Force
Send fire truck to Adama Police Station: fire on the balcony,Fire Force
"Kitchen fire, burn victim at Adama Market",Fire Force
Reporting small fire at the shopping mall.,Fire Force
Emergency! Help! kitchen fire at the construction site!,Fire Force
Send fire truck to Bus Terminal: explosion,Fire Force
Please send paramedics to the Park: heavy bleeding.,Medical/Hospital
Emergency! Please send paramedics to Summit: woman in labor.,Medical/Hospital
"Good morning, thanks",Other
URGENT police response needed: kidnapping attempt at Adama Market.,Police
Need firefighters at Mexico Square for thick smoke,Fire Force
Police emergency! mugging at Kebele 04,Police
Send fire truck to Fire Station: burning smell,Fire Force
Emergency! Send police immediately to the University campus - group with weapons in progress.,Police
Just testing the app,Other
Fire emergency at construction site - fire,Fire Force
Help! electrical sparks at the Main Road!,Fire Force
Ibidda Adama General Hospital,Police
Police emergency! riot at Train Station,Police
"Hello, app feedback thanks",Other
Emergency! There is a person with poisoning at the University campus.,Medical/Hospital
URGENT police response needed: kidnapping attempt at Piazza.,Police
Person with breathing difficulty at construction site,Medical/Hospital
Need ambulance at University campus - broken leg,Medical/Hospital
Emergency! I see fire in the basement at the Office.,Fire Force
Hey Quick question: how are you thanks,Other
Emergency! Send police immediately to Atlas area - drug dealing in progress.,Police
URGENT police response needed: break-in at the shopping mall.,Police
Medical emergency at the Stadium: head injury.,Medical/Hospital
Need ambulance at Sarbet - stroke,Medical/Hospital
Officer required at Train Station: stabbing,Police
Medical emergency at an Apartment building: choking,Medical/Hospital
Please send paramedics to shopping mall: car accident with injuries,Medical/Hospital
URGENT police response needed: armed suspect at Gerji.,Police
"Hi Hello, is anyone there?",Other
Medical emergency at Sarbet: woman in labor,Medical/Hospital
Emergency! huge flames at Train Station,Fire Force
Emergency! unconscious at Kebele 02,Medical/Hospital
Emergency! burning smell at Bus Terminal,Fire Force
Reporting harassment at Atlas area,Police
"Hello, general question?",Other
Emergency! Need firefighters at Piazza for fire on the balcony.,Fire Force
Need firefighters at Piazza for inferno,Fire Force
Medical emergency at CMC Condominium: stroke,Medical/Hospital
Medical emergency! unconscious person at Mexico Square.,Medical/Hospital
Please send paramedics to Gas Station: heart attack,Medical/Hospital
Officer required at Kebele 04: stolen goods,Police
Balaan gahe Gas Station,Fire Force
Help! electrical sparks at the Park!,Fire Force
Emergency! Reporting mugging at the Train Station.,Police
Emergency! Someone has woman in labor at Summit.,Medical/Hospital
Emergency! There is break-in happening at Sarbet.,Police
There is gas leak happening at the University campus.,Fire Force
"Gas leak, people unconscious at University campus",Fire Force
Emergency! Help! transformer fire at Summit!,Fire Force
"Hi No emergency, just wrong number?",Other
Police emergency! shooting at Main Road,Police
ልቤ ይታመማል በKebele 02,Fire Force
Checking in - time check thanks,Other
Someone has choking incident at the Gas Station.,Medical/Hospital
Emergency! Need police at Kazanchis - stabbing.,Police
Send fire truck to the Office: transformer fire,Fire Force
Please send paramedics to University campus: allergic reaction,Medical/Hospital
Emergency! fire on the balcony at the Office,Fire Force
Medical emergency! allergic reaction at an Apartment building.,Medical/Hospital
Need police at Main Road for armed suspect,Police
Hey time check please,Other
Emergency! I see burning smell at the Hospital gate.,Fire Force
Hey This is system test?,Other
Police emergency! domestic dispute at Gerji,Police
Hey Quick question: thank you please,Other
"Please send the fire force to the shopping mall, there is transformer fire.",Fire Force
Fire emergency at Adama General Hospital - burning smell,Fire Force
Gargaarsa nan barbaada Adama Market,Police
Emergency! There is a person with head injury at Adama Market.,Medical/Hospital
Medical emergency! poisoning at the Train Station.,Medical/Hospital
Emergency! Reporting unconscious person at Atlas area.,Medical/Hospital
URGENT: inferno reported at the local Pharmacy.,Fire Force
Hi Just time check?,Other
Quick question: hello world,Other
Police emergency! shooting at Atlas area,Police
Medical emergency at shopping mall: heart attack,Medical/Hospital
Witnessed mugging at Atlas area.,Police
"Emergency! Please send the fire force to the Bus Terminal, there is huge flames.",Fire Force
Emergency! Reporting domestic dispute at the Hospital gate.,Police
Reporting fire at University campus,Fire Force
Need police at Fire Station for mugging,Police
Emergency! Officer required at Summit: thief.,Police
Hello Checking in - is anyone there,Other
Emergency! smoke coming from the roof at Kebele 04,Fire Force
Quick question: how are you,Other
Emergency! Reporting poisoning at the University campus.,Medical/Hospital
There is a person with allergic reaction at the Train Station.,Medical/Hospital
Emergency! Reporting flames spreading at Kebele 02.,Fire Force
Witnessed drug dealing at Summit.,Police
"Weather report, thanks",Other
Send fire truck to Central Bank: thick smoke,Fire Force
There is robbery happening at Summit.,Police
I see chemical fire at CMC Condominium.,Fire Force
"Hello Hello, thank you thanks",Other
ፖሊስ ይደውሉልኝ በan Apartment building,Medical/Hospital
Emergency! Send police immediately to the Train Station - vandalism in progress.,Police
Person with bleeding at High School,Medical/Hospital
Emergency! Need an ambulance at the main Factory - heart attack.,Medical/Hospital
"Hello, how are you please",Other
Emergency! gas leak at Kebele 04,Fire Force
Medical emergency! stroke at the Gas Station.,Medical/Hospital
Emergency! I see chemical fire at CMC Condominium.,Fire Force
Quick question: app feedback please,Other
Please send paramedics to Gerji: broken leg.,Medical/Hospital
Emergency! Need an ambulance at Adama Market - poisoning.,Medical/Hospital
እሳት ወጥቷል በKebele 02,Fire Force
Ibidda Adama Market,Medical/Hospital
"Please send the fire force to Kebele 02, there is explosion.",Fire Force
Emergency! Need firefighters at Adama Market for inferno.,Fire Force
Emergency! Witnessed drug dealing at an Apartment building.,Police
"Hi hello world, thanks please",Other
Emergency! Need police at the Stadium - car theft.,Police
Send fire truck to Adama Police Station: thick smoke,Fire Force
"Hey Hello, hi there",Other
Emergency! Reporting overdose at the Stadium.,Medical/Hospital
Good morning,Other
Medical emergency at the main Factory: several injured people.,Medical/Hospital
Emergency! Please send paramedics to my Home: choking incident.,Medical/Hospital
Send fire truck to High School: inferno,Fire Force
This is wrong number,Other
Reporting break-in at Kebele 04,Police
Need ambulance at High School - breathing difficulty,Medical/Hospital
Send fire truck to Train Station: kitchen fire,Fire Force
Need ambulance at Summit - allergic reaction,Medical/Hospital
Send police to Kazanchis - kidnapping attempt in progress,Police
Police emergency! suspicious person at Main Road,Police
Send police to Central Bank - drug dealing in progress,Police
Person bleeding after stabbing at Gerji,Medical/Hospital
URGENT police response needed: mugging at the Bus Terminal.,Police
"Hello No emergency, just is anyone there thanks",Other
Emergency! Reporting fire in the basement at the shopping mall.,Fire Force
Please send police to my Home for riot.,Police
Hey Quick question: how are you,Other
Medical emergency at Mexico Square: stroke,Medical/Hospital
"Robbery, victim having heart attack at Central Bank",Police
Emergency! Send police immediately to Gerji - stolen goods in progress.,Police
Domestic violence with injuries at Main Road,Police
URGENT: kitchen fire reported at the Park.,Fire Force
This is app feedback thanks,Other
Police emergency! thief at Piazza,Police
Help! fire in the basement at the Hospital gate!,Fire Force
Emergency! choking at Adama Market,Medical/Hospital
Need an ambulance at my Home - person who fell.,Medical/Hospital
Emergency! Please send police to Mexico Square for car theft.,Police
Need firefighters at CMC Condominium for gas leak,Fire Force
Emergency! thick smoke at the Stadium.,Fire Force
Gargaarsa nan barbaada an Apartment building,Police
አደጋ ደረሰ በshopping mall,Medical/Hospital
Need police at Main Road for group with weapons,Police
Reporting harassment at Bus Terminal,Police
Hello This is time check thanks,Other
Hello hello,Other
Medical emergency! choking incident at an Apartment building.,Medical/Hospital
Witnessed domestic dispute at the Train Station.,Police
Need firefighters at Train Station for inferno,Fire Force
Police emergency! assault at Kebele 02.,Police
Officer required at Bus Terminal: car theft,Police
Emergency! Reporting gas leak at Summit.,Fire Force
Send police to Piazza - car theft in progress,Police
Hey This is how to use this please,Other
Reporting thick smoke at Gerji,Fire Force
Need police at Mexico Square for car theft,Police
Officer required at Fire Station: shooting,Police
Please send paramedics to Kebele 04: overdose,Medical/Hospital
Medical emergency at Train Station: broken leg,Medical/Hospital
Hospitaala nan barbaada Train Station,Fire Force
Reporting break-in at Kebele 02,Police
"Fire in apartment, someone trapped at High School",Fire Force
ሆስፒታል ያስፈልገኛል በAtlas area,Fire Force
Emergency medical assistance needed at a back alley for several injured people.,Medical/Hospital
Need firefighters at CMC Condominium for massive blaze.,Fire Force
Medical emergency! choking incident at Piazza.,Medical/Hospital
Emergency! car accident with injuries at Adama General Hospital,Medical/Hospital
Please send police to CMC Condominium for armed suspect.,Police
"Hi, app feedback",Other
Emergency! Someone has heavy bleeding at the Train Station.,Medical/Hospital
Police emergency! thief at Kebele 02.,Police
Send fire truck to Adama General Hospital: inferno,Fire Force
Emergency! Please send paramedics to the construction site: stroke.,Medical/Hospital
"Hey Hi, general question please",Other
URGENT: unconscious person at Kazanchis.,Medical/Hospital
Hi Checking in - weather report please,Other
"Thank you, thanks",Other
"No emergency, just testing the app",Other
Emergency! Witnessed thief at Mexico Square.,Police
Reporting massive blaze at Main Road,Fire Force
ሰረቁኝ በMexico Square,Police
Medical emergency at Train Station: overdose,Medical/Hospital
Emergency! There is robbery happening at the University campus.,Police
Emergency! There is riot happening at the Bus Terminal.,Police
"Emergency! Please send the fire force to the Hospital gate, there is something burning.",Fire Force
"Please send the fire force to Adama Market, there is fire on the balcony.",Fire Force
URGENT: fire in the basement reported at a back alley.,Fire Force
Fire emergency at University campus - explosion,Fire Force
Reporting electrical sparks at Summit,Fire Force
Send police to Train Station - suspicious person in progress,Police
Emergency! fire at the Office,Fire Force
Emergency! Need firefighters at the High School for kitchen fire.,Fire Force
Hey Checking in - just checking?,Other
Emergency! Need an ambulance at the Hospital gate - breathing difficulty.,Medical/Hospital
Emergency! Help! flames spreading at Piazza!,Fire Force
Police emergency! armed suspect at Adama Market,Police
Emergency! Please send police to my Home for riot.,Police
Emergency! something burning at an Apartment building,Fire Force
Officer required at Main Road: stabbing,Police
Reporting warehouse fire at Main Road,Fire Force
Emergency! inferno at shopping mall,Fire Force
Emergency! inferno at Gerji.,Fire Force
Emergency! There is fire in the basement happening at the main Factory.,Fire Force
"Emergency! Please send the fire force to Kazanchis, there is fire on the balcony.",Fire Force
Emergency! There is small fire happening at the local Pharmacy.,Fire Force
Fire emergency at Gerji - kitchen fire,Fire Force
Quick question: hello,Other
Emergency! Send fire truck to the local Pharmacy - burning smell.,Fire Force
Police emergency! kidnapping attempt at Bus Terminal,Police
Please send paramedics to Gerji: overdose,Medical/Hospital
Emergency! Help! smoke coming from the roof at the shopping mall!,Fire Force
Poolisiin na biliisa Adama Market,Fire Force
Person with woman in labor at Adama General Hospital,Medical/Hospital
Need firefighters at Kebele 02 for burning smell,Fire Force
Hi how are you thanks,Other
"Hey Hi, time check",Other
Hello system test,Other
Emergency! Witnessed drug dealing at the Train Station.,Police
Emergency! There is vandalism happening at the University campus.,Police
Person with head injury at Summit,Medical/Hospital
"Hello Hello, system test please",Other
Emergency! chemical fire at construction site,Fire Force
URGENT: transformer fire reported at the Office.,Fire Force
Need ambulance at Central Bank - head injury,Medical/Hospital
Medical emergency at the Main Road: choking incident.,Medical/Hospital
Emergency! There is harassment happening at an Apartment building.,Police
"Hi, how are you",Other
"Robbery, victim having heart attack at Kebele 04",Police
Medical emergency at shopping mall: head injury,Medical/Hospital
Emergency! fire in the basement at High School,Fire Force
Poolisiin na biliisa Gerji,Fire Force
Emergency! burn victim at Kazanchis,Medical/Hospital
"Hi Hello, good morning?",Other
Hatte Mexico Square,Medical/Hospital
"Hello Hi, time check please",Other
Reporting smoke coming from the roof at Atlas area,Fire Force
Need ambulance at shopping mall - animal bite,Medical/Hospital
Medical emergency at Adama Police Station: head injury,Medical/Hospital
ሰረቁኝ በAdama Market,Fire Force
There is a person with head injury at Summit.,Medical/Hospital
Emergency! bleeding at University campus,Medical/Hospital
Emergency! electrical sparks at High School,Fire Force
URGENT police response needed: stabbing at the Central Bank.,Police
Hey is anyone there?,Other
Emergency! chemical fire at Main Road,Fire Force
Medical emergency at Sarbet: heart attack,Medical/Hospital
"No emergency, just system test?",Other
Police emergency! break-in at Kebele 04.,Police
"Hey Hello, testing the app thanks",Other
Need ambulance at the Office - burn victim,Medical/Hospital
Emergency! Send fire truck to the Main Road - flames spreading.,Fire Force
Send fire truck to CMC Condominium: something burning,Fire Force
Need police at Sarbet for assault,Police
This is system test,Other
እሳት ወጥቷል በSarbet,Medical/Hospital
Emergency! There is kidnapping attempt happening at Gerji.,Police
Emergency! Someone has allergic reaction at Kebele 04.,Medical/Hospital
"Emergency! Please send the fire force to my Home, there is burning smell.",Fire Force
Hi Just thank you please,Other
Need firefighters at University campus for flames spreading,Fire Force
Officer required at Bus Terminal: stabbing,Police
I see smoke coming from the roof at the Hospital gate.,Fire Force
Hatte Kazanchis,Police
Emergency! fire at Central Bank,Fire Force
Medical emergency at Adama Market: collapsed person.,Medical/Hospital
Police emergency! drug dealing at the University campus.,Police
እሳት ወጥቷል በan Apartment building,Medical/Hospital
Person with collapsed at Kebele 04,Medical/Hospital
Send fire truck to Kebele 04: fire,Fire Force
Officer required at Adama Market: drug dealing,Police
Person with unconscious at Main Road,Medical/Hospital
Reporting stolen goods at a back alley.,Police
Medical emergency! overdose at the Gas Station.,Medical/Hospital
"Gas leak, people unconscious at Summit",Fire Force
Emergency! There is stolen goods happening at the Main Road.,Police
Emergency! There is assault happening at CMC Condominium.,Police
"Emergency! Please send the fire force to the Train Station, there is gas leak.",Fire Force
Send police to Bus Terminal - drug dealing in progress,Police
Please send paramedics to CMC Condominium: heavy bleeding.,Medical/Hospital
Officer required at Piazza: burglary,Police
Medical emergency at an Apartment building: burn victim,Medical/Hospital
አደጋ ደረሰ በFire Station,Fire Force
Just how to use this thanks,Other
Need police at Gas Station for group with weapons,Police
Emergency medical assistance needed at Bole Road for person who fell.,Medical/Hospital
URGENT: seizure at the High School.,Medical/Hospital
"Hello, is anyone there thanks",Other
Emergency! Please send paramedics to the High School: broken leg.,Medical/Hospital
URGENT police response needed: riot at Mexico Square.,Police
Please send paramedics to an Apartment building: broken leg,Medical/Hospital
Reporting kitchen fire at an Apartment building,Fire Force
Send police to Piazza - domestic dispute in progress,Police
URGENT: inferno reported at the Main Road.,Fire Force
Person with breathing difficulty at Kazanchis,Medical/Hospital
Hi Quick question: is anyone there?,Other
Gargaarsa nan barbaada Kebele 04,Police
Need police at shopping mall for break-in,Police
Emergency! Need an ambulance at the High School - heavy bleeding.,Medical/Hospital
"Hi, system test",Other
Send police to Piazza - burglary in progress,Police
Officer required at Adama General Hospital: break-in,Police
Emergency! Officer required at Piazza: armed suspect.,Police
Reporting mugging at Summit,Police
Reporting vandalism at CMC Condominium,Police
Need police at my Home - assault.,Police
URGENT: fire in the basement reported at the University campus.,Fire Force
Medical emergency at Kazanchis: collapsed person.,Medical/Hospital
"Fire in apartment, someone trapped at construction site",Fire Force
ፖሊስ ይደውሉልኝ በshopping mall,Medical/Hospital
Send fire truck to the Office: warehouse fire,Fire Force
እርዳታ ያስፈልገኛል በKebele 04,Police
Just general question,Other
Fire emergency at the Office - electrical sparks,Fire Force
Police emergency! harassment at the local Pharmacy.,Police
Please send paramedics to Adama Market: choking incident.,Medical/Hospital
Emergency! Need an ambulance at the construction site - poisoning.,Medical/Hospital
Reporting heavy bleeding at the Gas Station.,Medical/Hospital
Medical emergency at Train Station: stroke,Medical/Hospital
Medical emergency at Gas Station: choking,Medical/Hospital
Police emergency! assault at Sarbet,Police
Need firefighters at Adama General Hospital for fire on the balcony,Fire Force
Emergency! Witnessed stolen goods at Adama Market.,Police
Send fire truck to Summit: transformer fire,Fire Force
Medical emergency! allergic reaction at the Stadium.,Medical/Hospital
Emergency! Please send police to Piazza for drug dealing.,Police
Need ambulance at Fire Station - car accident with injuries,Medical/Hospital
Emergency! fire in the basement at the Main Road.,Fire Force
"Please send the fire force to the Hospital gate, there is smoke coming from the roof.",Fire Force
Need police at Summit for stolen goods,Police
"Hello how are you, thanks",Other
Reporting explosion at Atlas area.,Fire Force
ሆስፒታል ያስፈልገኛል በKebele 02,Medical/Hospital
Send fire truck to Summit: thick smoke,Fire Force
There is a person with overdose at Atlas area.,Medical/Hospital
Emergency medical assistance needed at Sarbet for broken leg.,Medical/Hospital
Fire emergency at Kebele 02 - smoke coming from the roof,Fire Force
Officer required at Piazza: riot,Police
Please send paramedics to the Office: animal bite,Medical/Hospital
Emergency! Need firefighters at the Park for burning smell.,Fire Force
URGENT: small fire reported at the construction site.,Fire Force
Hafuura baafachuu dadhabe shopping mall,Fire Force
"Hello No emergency, just wrong number?",Other
Need an ambulance at Summit - unconscious person.,Medical/Hospital
"App feedback, thanks thanks",Other
Emergency! Officer required at the Park: stolen goods.,Police
URGENT: brush fire reported at the Central Bank.,Fire Force
"Hello testing the app, thanks thanks",Other
Emergency! car accident with injuries at Central Bank,Medical/Hospital
Emergency! collapsed at Piazza,Medical/Hospital
Emergency! transformer fire at Sarbet,Fire Force
URGENT: several injured people at the Park.,Medical/Hospital
Poolisiin na biliisa Bus Terminal,Fire Force
Hello This is testing the app?,Other
Emergency! something burning at shopping mall,Fire Force
Emergency! small fire at Gerji.,Fire Force
Medical emergency at Central Bank: burn victim,Medical/Hospital
"Hello No emergency, just is anyone there please",Other
Emergency! Please send paramedics to the Main Road: allergic reaction.,Medical/Hospital
ሆስፒታል ያስፈልገኛል በCMC Condominium,Police
Emergency! gas leak at a back alley.,Fire Force
Emergency! collapsed at Adama Police Station,Medical/Hospital
Medical emergency at Adama Market: poisoning,Medical/Hospital
Fire emergency at Gas Station - kitchen fire,Fire Force
Emergency! Please send police to Summit for shooting.,Police
Reporting harassment at Summit,Police
Police emergency! break-in at Atlas area,Police
Hello app feedback?,Other
ሆስፒታል ያስፈልገኛል በGerji,Police
Reporting seizure at the Central Bank.,Medical/Hospital
URGENT: person who fell at the Central Bank.,Medical/Hospital
Reporting brush fire at Mexico Square,Fire Force
URGENT: fire on the balcony reported at Kazanchis.,Fire Force
Hey system test,Other
Medical emergency at Summit: poisoning,Medical/Hospital
Hi Quick question: how are you?,Other
I see small fire at the Hospital gate.,Fire Force
There is flames spreading happening at Bole Road.,Fire Force
Please send paramedics to Kebele 02: breathing difficulty.,Medical/Hospital
Emergency! Officer required at my Home: stolen goods.,Police
Need ambulance at Mexico Square - car accident with injuries,Medical/Hospital
"Emergency! Please send the fire force to Kebele 02, there is warehouse fire.",Fire Force
Please send police to the main Factory for kidnapping attempt.,Police
Emergency! There is stolen goods happening at the shopping mall.,Police
Need firefighters at Mexico Square for chemical fire,Fire Force
"Emergency! Please send the fire force to the Park, there is explosion.",Fire Force
Need ambulance at Gerji - overdose,Medical/Hospital
Emergency! Send fire truck to the main Factory - huge flames.,Fire Force
"Emergency! Please send the fire force to the construction site, there is massive blaze.",Fire Force
Police emergency! violent fight at the Main Road.,Police
Emergency! There is smoke coming from the roof happening at CMC Condominium.,Fire Force
"Fight with weapons, people injured at an Apartment building",Police
Checking in - wrong number,Other
Emergency! Reporting drug dealing at the Central Bank.,Police
Fire emergency at Bus Terminal - smoke coming from the roof,Fire Force
URGENT: smoke coming from the roof reported at Atlas area.,Fire Force
Reporting riot at my Home.,Police
Hi hello world please,Other
"No emergency, just general question",Other
URGENT: heart attack at the University campus.,Medical/Hospital
Emergency medical assistance needed at a back alley for burn victim.,Medical/Hospital
"Hello No emergency, just testing the app?",Other
Need police at Central Bank for shooting,Police
Need police at Piazza - vandalism.,Police
Emergency! There is a person with allergic reaction at the Office.,Medical/Hospital
Please send police to the Hospital gate for assault.,Police
Medical emergency at Kebele 04: head injury.,Medical/Hospital
Fire emergency at Kebele 04 - explosion,Fire Force
Reporting break-in at my Home.,Police
Send police to Kazanchis - vandalism in progress,Police
Reporting flames spreading at Piazza,Fire Force
Need firefighters at Adama Police Station for fire,Fire Force
Medical emergency at Kebele 02: heavy bleeding.,Medical/Hospital
Emergency! Send police immediately to the main Factory - domestic dispute in progress.,Police
"Is anyone there, thanks",Other
Emergency! massive blaze at Mexico Square,Fire Force
"Hi Hello, system test thanks",Other
Emergency! burning smell at a back alley.,Fire Force
URGENT: huge flames reported at my Home.,Fire Force
Medical emergency at the Train Station: seizure.,Medical/Hospital
Emergency! I see small fire at the construction site.,Fire Force
"Gas leak, people unconscious at Adama Police Station",Fire Force
Reporting harassment at Gerji,Police
Emergency! Officer required at the Main Road: burglary.,Police
Officer required at High School: drug dealing,Police
Please send paramedics to Bus Terminal: unconscious,Medical/Hospital
Reporting chemical fire at the Office,Fire Force
There is domestic dispute happening at Atlas area.,Police
Emergency! Help! chemical fire at the High School!,Fire Force
Emergency! Witnessed riot at Sarbet.,Police
ሰረቁኝ በKazanchis,Police
Please send police to an Apartment building for riot.,Police
Officer required at Piazza: break-in,Police
There is mugging happening at CMC Condominium.,Police
Fire emergency at Fire Station - thick smoke,Fire Force
Emergency! Help! burning smell at the shopping mall!,Fire Force
Emergency! Need firefighters at the Gas Station for thick smoke.,Fire Force
Reporting something burning at Train Station,Fire Force
Police emergency! burglary at Gas Station,Police
Emergency! Need an ambulance at the construction site - car accident with injuries.,Medical/Hospital
Send police to Bus Terminal - riot in progress,Police
"Emergency! Please send the fire force to the Hospital gate, there is burning smell.",Fire Force
Officer required at Fire Station: assault,Police
Emergency! Reporting person not breathing at a back alley.,Medical/Hospital
Send police to Piazza - vandalism in progress,Police
Hospitaala nan barbaada Central Bank,Medical/Hospital
Send fire truck to Gas Station: kitchen fire,Fire Force
Need police at Adama Market for group with weapons,Police
Domestic violence with injuries at Kebele 02,Police
There is burning smell happening at Mexico Square.,Fire Force
Emergency! Please send police to the Stadium for riot.,Police
Emergency! Send police immediately to the Main Road - shooting in progress.,Police
Send fire truck to Kebele 02: brush fire,Fire Force
Please send paramedics to Adama Market: woman in labor,Medical/Hospital
Domestic violence with injuries at Mexico Square,Police
Emergency! I see inferno at Kebele 04.,Fire Force
Officer required at the Hospital gate: robbery.,Police
Emergency! flames spreading at Kazanchis.,Fire Force
Emergency! gas leak at Kebele 02,Fire Force
Person with head injury at Kazanchis,Medical/Hospital
Emergency! Please send paramedics to the Central Bank: animal bite.,Medical/Hospital
"Hi No emergency, just system test please",Other
Emergency! Officer required at the Train Station: mugging.,Police
Emergency! There is harassment happening at the Train Station.,Police
Send fire truck to the Office - inferno.,Fire Force
Reporting suspicious person at an Apartment building,Police
URGENT: small fire reported at Gerji.,Fire Force
Send police immediately to CMC Condominium - car theft in progress.,Police
Please send paramedics to Adama Market: fainting,Medical/Hospital
Emergency medical assistance needed at the Office for stroke.,Medical/Hospital
Emergency! There is gas leak happening at the High School.,Fire Force
Hey Quick question: good morning?,Other
"Hello, how are you",Other
Reporting violent fight at Kebele 04,Police
Reporting drug dealing at Adama Market,Police
Reporting thick smoke at the shopping mall.,Fire Force
"Hi Hello, is anyone there thanks",Other
Reporting kidnapping attempt at Piazza,Police
"Hi No emergency, just time check please",Other
Reporting electrical sparks at Train Station,Fire Force
Reporting vandalism at the Office,Police
Fire emergency at Atlas area - gas leak,Fire Force
Send police to Kazanchis - drug dealing in progress,Police
"Hello, testing the app thanks",Other
Emergency! There is car theft happening at Kebele 04.,Police
Emergency! Please send police to the Stadium for drug dealing.,Police
Officer required at Sarbet: break-in,Police
Medical emergency! several injured people at my Home.,Medical/Hospital
"Weather report, thanks thanks",Other
Police emergency! group with weapons at Gerji,Police
Medical emergency at the Office: unconscious person.,Medical/Hospital
Emergency! Send fire truck to Kebele 02 - fire on the balcony.,Fire Force
